Name,Date,Content,Rating
"Stefanie of Van Nuys, CA","Original review: May 14, 2021","I apologize in advance - this review is going to be long. Leave now if you don't want to sit through it all! My husband and I purchased our first home in October - what an exciting time it was! We were so excited to buy all new furniture and decorate our new place. We were so excited, in fact, we walked into West Elm in September, before we closed escrow.",2.0
"Allan of Sugar Land, TX","Original review: May 2, 2021","Do not order from them, at least don't order online. This is a very bad company to deal with. I ordered a SMEG kettle mid April from their website, it supposed to be a Mother's Day gift. The confirmation email says it will be delivered to my mom on May 4th. I went check on their website today (May 2nd) and realized they cancelled my order about 6 days ago. I have been looking for emails from this company every day to see if they shipped the product, I got nothing but junk mails from them every single day (sometimes more than one a day). I called the customer service and they told me it was their supplier's problem so they cannot deliver. It is totally unacceptable that they just cancelled my order without informing me. If you want to risk your timing, go ahead. Order from them.",1.0
"Garvin of Fremont, CA","Original review: April 30, 2021","I ordered a bed frame 9/7/2020. I've had 3 defected deliveries; most recent on 4/10/21. On 4/13/21, I spoke to someone and they said they will process a replacement. 4/30/21, nothing was done. Serious!",1.0
"Dana of Denver, CO","Original review: April 30, 2021","I like posting good reviews but I feel compelled to post a bad one because my experience with West Elm has been more of a letdown than the ending of Game of Thrones. I ordered a bedframe from West Elm in the Spring of 2020. Since we were mid-pandemic, I tempered my expectations for potential delays. I am a patient person but West Elm requires you have the patience it might take to wait for a giant red wood tree to grow from seed to full adult. Initially I was told four months until delivery. Fine. When the bed arrived, it was broken. They put it back on the truck and I was told to place a new order. I did so and the new order was placed. ",1.0
"Michael of Toronto, ON","Original review: April 29, 2021","DO NOT ORDER FROM THEIR WEBSITE! My credit card incurred charges and reversing charges at a rate that made it impossible to track what I had and had not been charged for and that tied up credit unnecessarily (make sure you have twice the credit available as the amount of your order). I can’t tell on their website what pieces of my order have and have not been shipped. There seems to be no connection between what their website says regarding availability and delivery dates and actual inventory and delivery dates. I had to call their ‘customer service’ 5+ times, all to no end — and, they can not escalate a call to a supervisor or manager without 24 to 48 hour delay. ",1.0
"Ashley of Orlando, FL","Original review: April 28, 2021","Do NOT purchase from this company ever! Ordered a sofa on 12/12/20, expected delivery date: 2/24/21. The date has been pushed out 5 times with no promise of an actual delivery date. Will I ever see this sofa? I’m not so sure. I am now 8 months pregnant, still sitting on an air bed in our living room. When explaining this to customer service, it seems that it doesn’t even matter! I have gone my entire pregnancy in discomfort.",1.0
"Lilli of Kennett Square, PA","Original review: April 26, 2021","I ordered the Harmony sectional couch and a simple wood bed frame on 11/10. When the couch order was placed, it was the in stock item and color. Sometime after place my order it became a custom purchase which drastically moved out the delivery date. Despite the couch being “custom” I received the corner unit a month before the rest of the couch in the beginning of March. When the rest of the couch arrived the “white glove” delivery service came and assembled it and failed to realize the couch was missing legs on the corner unit and left sectional piece. They also attached the couch to the front bracket only, without my knowledge.",1.0
"Ivo of Miami, FL","Original review: April 23, 2021","I contacted West Elm in May 2020 to report that our cushion from our less than 1 year old couch was sagging. They placed an order for a replacement cushion under warranty. The replacement cushion was supposed to be delivered in June 2020. That didn't happened. After several attempts to receive an update, I finally received an update in August 2020. The cushion somehow got lost in transit subsequently and other replacement cushion was ordered. After months of delays I finally received a notification that the cushion was going to be delivered in February 2021. ",1.0
"Elizabeth of Cary, NC","Original review: April 22, 2021","Like so many others on this site, I am missing furniture that I ordered MONTHS ago. In September 2020 I ordered a ladder desk with no indication at the time that there might be a delay. Within days, however, I was getting ""order updates"" that it had become backordered (why wasn't this mentioned on the website at the time of my order?) and the delivery estimate rapidly went from November to December to January. Then, in January I was finally billed for the desk (YES, I PAID FOR IT) so I thought it was on its way. It is now APRIL 22. SEVEN MONTHS LATER I still do not have that stupid desk. In the last few months, I have called at least 4 times, emailed, and tweeted to try to get someone who will either ship the thing or AT LEAST refund my money. That's right; I don't even want the desk anymore. I have asked for a refund in writing, and have gotten no response. WEST ELM YOU ARE STEALING FROM ME. This is beyond shameful. This is unethical.",1.0
"Robin of Brooklyn, NY","Original review: April 21, 2021",I ordered a Sofa from West Elm. Original order date - 11/19/20. Original delivery date - 12/31/21. Delivery rescheduled for 12/24/21 with less than 24 hours notice (very inconvenient to re-arrange Christmas Eve plans around a delivery that was supposed to come a week later). Delivery received - sofa was crushed gravel as ordered - ottoman was brown leather? Ottoman returned and replacement ottoman was ordered with an ETA of 2/15/21. Delivery delayed until 3/11/21. Delivered on 3/12/21 - with NO LEGS. Called customer service on 3/12/21 - rep said legs ordered and would be delivered in one week. Called customer service on 3/19/21 - rep. Said legs were not ordered and they would reach out to the vendor. Called customer service on 3/25/21 - rep said something about a sku number and that she could not transfer me to a manager.,1.0
"JOHN of Ridgewood, NY","Original review: April 20, 2021","West elm responded with a link: support@westelm.com. This leads to their site to shop or to customer service where I get ""robot"" answers and no solutions. I have been here before with NO HELP at all. They are worthless.",1.0
"John of Ridgewood, NY","Original review: April 20, 2021","Updated on 05/08/2021: West Elm is the WORST company that I have ever dealt with. Not only did I order these chairs in November 2020, but every month I get a new email pushing the expected delivery date back another two weeks. Today I get yet another date of expected delivery. When I call customer service, which is a joke, I get either standard canned answers or ridiculous responses such as; ""It's COVID-19's fault."", ""it's all because of the S.S. Ever Given being stuck in the canal,"" ""it's a popular item,"" ""it's not a very popular item,"" and my all time favorite, ""We have received a lot of recent orders for this item and that is why your order from November is delayed."" This might actually be true. We got a very good price for these two chairs. So it is possible that west elm received a lot of recent orders and they are sending them out to the people who paid regular price and are keeping ours until they fill all of the 'full price' orders first.",1.0
"Lynn of Evanston, IL","Original review: April 20, 2021","Coffee table was the advertised as having white glove delivery service. When it shipped, it was obvious to me this was not the case. When I complained, I did receive a small discount on the table. When the table arrived, I noticed significant damage on the edge. As a 65-year-old woman, there is no way I can repack this for a return so I am left with a damaged table.",2.0
"Farrah of Allentown, PA","Original review: April 16, 2021","Ordered a dining table. It came with no hardware to be put together. West Elm told me to refuse the table and that they would send a new one out right away (This was April 15th). They told me that they would call with details later that day. They never did, so I called them on April 16th. The first call hung up, the second transferred me to the “hub” that they assured me was open. I ended up on the phone with scheduling and they told me the hub was closed. The first customer service rep told me that I could not cancel and reorder because the table is on back order. The next customer rep in scheduling told me there are plenty in stock. All lies. So annoying to deal with. I called to check on my order and they are telling me I’ll hear something May 12th. Really???, so I need to wait another month to hear something, while West Elm holds my money and I have no table.",1.0
"Beerit of Berkeley, CA","Original review: April 16, 2021","The short of it is: West Elm sent me only the bottom piece of an item; I chased them to receive answers about receiving the other piece; which eventually was disclosed will only arrive two months after my original purchase; after all the runaround, if I want to be refunded for the useless single piece I'll need to physically go to UPS to return the item because I threw the box away after the first customer rep lied to me about sending a replacement piece.",1.0
"Claire of Goodyear, AZ","Original review: April 16, 2021","I wish I had reviews prior to making a purchase! We ordered a couch and kitchen table in Jan 2021. At that time, the delivery was stated as taking 6 weeks (arriving in March). In early March, I received an email saying delivery would now be in May (due to COVID—what on earth does that have to do with anything? COVID had already been going for a year when I placed the ordered. If it was going to cause such long delays, West Elm should have been honest when I placed the order). I called in March to see if I could cancel the order. I was told absolutely not because they had already started building the couch. If you order a couch it is considered a custom order, so once you order you can’t cancel it. Be warned. They will give you an unrealistic delivery date and then hold you hostage, prohibiting you from canceling the order. Now (in mid-April), the tracking order says it will be delivered in June. I am super skeptical that will be the case. ",1.0
"Nicole of Marcellus, NY","Original review: April 16, 2021",I ordered a king size Anton bed in on November 6th with a delivery date of February 10-24. I called in the beginning of February to see if they had a specific date yet that delivery would come. I was told that they canceled my order in the beginning of January and that an email was sent. They had sent it to an incorrect and not valid email address. When I asked why they canceled it they said they were no longer making them. But if you went to the website at the time of this conversation and now you can see they are still in fact selling king sized Anton beds! They said there was nothing they could do but would honor my 25% discount on a different bed. I could not find one that I liked at West Elm but found one that was somewhat comparable (not exactly what we wanted) on Pottery barn.,1.0
"Anre of Denver, CO","Original review: April 15, 2021","I placed this order late November and the expected date was for the last two weeks in December. In that time I received an update that my order was pushed out not 1, not 2 but 3 months out. My credit card was charged $1500 and I still have nothing to show for it. I've reached out to express my frustration with this and was told sorry over and over, I get it but, this is not acceptable and if I'm told one more time that someone is sorry I might run away. West Elm sold me a product that they do not have in stock and a delivery time that is 5-6 months at the moment off.",1.0
"Joanne of Evanston, IL","Resolution response: April 22, 2021","This issue was resolved with West Elm. A full refund was received one week after the negative review was published. I will not be updating the rating because after slogging through customer service on my own with no change, I believe the only reason why the company responded to me was due to the Consumer Affairs public review. Thank you Consumer Affairs.",1.0
"Lynne of Atlanta, GA","Original review: April 13, 2021","After contacting a customer service rep about the standing lamp I purchased on line that came with a different shade than advertised, I thought a shipping mistake had been made. I was sent a replacement and again it was incorrect. Not, not the displayed shade that was a big part of the lamp's ""impact"" and buy ability was no longer offered with the lamp. The shade was now being sold with a different standing lamp. I insisted they switch out the shade as as advertised with the lamp I had bought. The rep agreed to this. She could not get this done so after many days I offered to buy a shade from elsewhere that suited the lamp and get reimbursed to save time and effort. She gratefully agreed to this. ",1.0
"Sam of Boston, MA","Resolution response: April 13, 2021","While I can't speak for my local store, I'm very happy with the help and kindness I received from the corporate customer service team to resolve my issue.",
"Sarah Jane of Sunnyside, NY","Original review: April 10, 2021","I understand West Elm’s policy to not cancel custom build furniture. But there needs to be a time limit. They keep pushing back the date and cannot promise me when it will be done. They claim the build is “in progress.” But they also claim they don’t have the materials they need. (Note that plenty of reviews similar to mine are pre-pandemic. It’s a West Elm problem, not a pandemic problem.) If they keep pushing back the date, and they don’t have the materials, the build is clearly NOT IN PROGRESS. Therefore, a refund should be allowed so I can buy a glider elsewhere. By the time I get this stupid glider, I won’t need a glider. STAY AWAY from this company. It’s not worth it. There are too many other comparable stores with beautiful, available furniture and dependable delivery.",1.0
"Sarah of Brooklyn, NY","Original review: April 10, 2021","I hate that I have to do this. I have purchased many things from West Elm. However, this sofa delay has really pissed me off. I purchased my sofa January 18, 2021. As per the email, I was set to get my sofa between March 31st - April 14th. I went online today and noticed that date was changed to Apr. 22 - May 6. Look West Elm, get your ** together. This was a custom order, so now I am stuck. As per customer service, I cannot cancel. I am stuck paying for a sofa I have yet to receive. Now I am PISSED! And please West Elm, skip your ** sorries. Get your stuff together.",1.0
"Kirsten of Severna Park, MD","Original review: April 9, 2021","Ordered the Harris Sectional and Harmony Chair (over $4000) from West Elm 11/15/20. Both items were originally estimated to be here in January 2021. We saw zero movement until March 2021. At that point, we were charged for the items and they moved to “in transit from distribution center”. It is now over a month later and that tracking hasn’t changed. I’ve followed up with WestElm weekly since January and each time they make up something completely new. One rep told me these items were coming from Mississippi and another told me they had just arrived to the USA. ",1.0
"KELLY of Brooklyn, NY","Original review: April 9, 2021","Ordered a couch in October of 2020, and was told would come in December. Today, 6 months later, delivery team came by our building, never called, never rang the bell, and left. Would not come back. Customer service claims there is nothing they can do, and delivery has to be rescheduled for next week. Throughout this whole experience they have been overall pleasant, although quick to blame us for the delay for ordering a “custom” (ie, not floor model) couch. This is not our first bad experience with West Elm, nor does it seem to be unique, from what I can see online. The couch was expensive, and I’m pretty apprehensive about what kind of condition it will arrive in. It’s astonishing to me that they get away with this shoddy, shoddy service.",1.0
"Zoe of UK, Other","Original review: April 9, 2021","We spent £7000 on dining room table/chairs/rugs/mirrors etc so that we would have a matching dining room area. We paid for assembly and delivery which they offer through Wincation delivery service team. The dining table is almost 40kg and they did not assemble despite paying for it to be assembled and quoted Covid restrictions means they will only assemble sofas? I don’t see how a 40kg concrete table is different to a sofa? On top of that I have been emailing back and forth between West Elm and Wincation and neither are taking responsibility for the assembly. Every time I contact West Elm it is a different person to reply and a different response depending on the person. For the cost I have paid I expected a good customer service and them to fix the problem (assemble the table as paid and planned). Terrible company and service, if I had known they would be like this I would have put my money elsewhere.",1.0
"Candyce of Bainbridge, GA","Resolution response: April 10, 2021",I contacted West Elm today and spoke with one of their most helpful CS rep. She showed empathy and was able to help me get refunded for my purchase. She really went above and beyond to help resolve my issue and therefore I am updating my rating to five stars because some companies do have reps that would really like to help and resolve customer’s issues. I’m not sure if I would recommend the company while in a pandemic but I know West Elm will get back to being the great company it once was.,
"Alexis of Smithville, MO","Original review: April 8, 2021","My husband and I ordered a custom fabric couch on November 5, 2020. The estimated delivery was scheduled for the last week of January. The shipping date has now been moved six times. The latest expected ship date is 4/30/21. Based on the other reviews, I’m assuming West Elm customer service will say to contact them, but I have done so multiple times. No one can tell me when the couch will actually be sent. Most recently I was told to be patient because there is a pandemic. I have been patient for months. West Elm has sold me a product that they can’t produce. Perhaps, West Elm should not sell items they can’t deliver. I would be happy to be patient if I could trust the estimated ship date. I was told by customer service that my only option is to wait for the couch, and yet, how long am I expected to wait. I will never purchase from West Elm again.",1.0
"Christopher of New York, NY","Original review: April 6, 2021",I bought the Cooper Mid-Century swivel office chair in September 2019. Two weeks ago my husband sat on the chair and the metal plate under the chair where the stem meets the chair snapped. The chair is less than two years old. West Elm does not provide parts for the chair and they don't guarantee the chair. The return policy on furniture is 30 days.,1.0
"Rosie of Fontana, CA","Original review: April 6, 2021","“Do not purchase from West Elm”. We purchased a set of couches in Dec, had to wait 10 weeks for delivery, which was delayed, only to receive them damaged! We had to wait another 10 weeks for replacements & when finally delivered the couches are more damaged than the first set which the delivery person noted & now customer service won’t get back to us!",1.0
"Abigail of Valley Village, CA","Original review: April 5, 2021",I contacted West Elm about an item before the return window expires. The customer service rep told me that they would approve an extension to my return and I could get a refund. This being due to the fact that I’d ordered another rug to compare it with which had been placed on backorder. A few months later I still had not received the second rug. I needed to cancel the second rug due to moving to a new address. I called to return the first rug as had been granted with the exception.,1.0
"Kate of Brooklyn, NY","Original review: April 2, 2021",Buyer Beware! Do not order furniture from West Elm unless you are prepared to wait and wait and make it your full time job to follow up with Customer Service. I ordered a couch in August 2020. The couch body was delivered to their warehouse in October without the legs. The date for delivery (originally promised in Oct) continued to get pushed back without explanation. After several calls WE finally confirmed that the legs that were due to arrive in Dec were lost and were reordered in Feb. They were then scheduled to arrive in 6 weeks. ,1.0
"Elsa of Los Angeles, CA","Original review: April 2, 2021","I fell in love with the coffee table the minute I saw. It even arrived at the time expected. The problem began with construction of the table. A piece, the size of a finger, broke. West Elm would not replace the piece unless I returned the entire table - a 75 pound package. To mail back for a finger sized piece seems unreasonable. It’s too heavy for me to repackage and carry to the post office. West Elm won’t budge or talk. Policy is policy. I am disappointed and cannot recommend the company.",1.0
"Ashanti of Charlotte, NC","Original review: April 2, 2021","This is literally the first review I ever wrote in my life because I am a super easy-going person that truly goes with the flow. But I wouldn't recommend my worst enemy order a custom furniture order from West Elm. I ordered a Harris custom sectional on September 1st and still have not received my actual product today as of April 1st. My original order was set to be delivered on October 15th. But when they arrived to deliver it they realized that they made the right chaise but the wrong couch part. So if they put it together it would be facing my wall. So of course a replacement had to be initiated, this was not even approved to be ordered by the company until November 9th. ",1.0
"James of Arcadia, CA","Original review: April 1, 2021","Placed a large $7500 order with them back in Nov for a dining table, bed, and the Harmony Sectional. Bed was delivered in a few weeks, love it, no issues. Dining table was delivered after a month, first delivery appointment they missed, they basically just ghosted us and I had to call them and ask what happened. They set the 'next available appt' a full week later, and got it delivered. Table looks great, but is a little wobbly due to the wishbone design, not a huge deal. They advised I call them back for a remedy and I did, and they graciously offered a 15% credit back to my card for the cost of the table. $115. I was feeling good, but that's where the transaction went sour.",1.0
"Margaret of Bloomfield, NJ","Original review: April 1, 2021","I have been a West Elm fan for years, my most recent experience will be my last. They are notorious for backordered items and unreasonable long delays in shipping. I found a duvet sham set I liked, I ordered it and it was put on backorder for 3 months. I was okay with waiting from December 2020 to April 2021. Finally the day comes and open the package to find the wrong item. I cannot explain how frustrating that it after waiting 3 MONTHS. They are now refusing to ship a replacement until the old item is returned which is an inconvenience not to mention that I highly doubt I will receive the correct order. The item is now on sale and I have also not been offered a price adjustment. The correct thing to do is over next day shipping for free to ensure that I receive the order and to adjust the price to the new sale, but NO. Not with West Elm. THIS IS A DISGRACE.",1.0
"Ronald of Winchester, MA","Original review: April 1, 2021","Love my Portside furniture... EXCEPT for the garbage cushions that lasted 2 seasons (fully covered when not in use), they have all torn and discolored. West Elm offers no help, only to spend $3,000 on new covers for furniture that is 3 years old and cost over $7,000 for the set. Go elsewhere!",1.0
"Cheri of Littleton, CO","Original review: March 31, 2021",I purchased area rugs from West Elm in November. After the holidays I contacted them to return the rugs as they were shedding terribly and the ends of wool were coming up on the rugs. I was told that they were outside the window for returns. I mentioned that is was Covid and the holidays. The Customer Service Rep took my information to forward to the returns exception department. They were to contact me within 3 business day. It has been 2 months and not attempt has been made to contact me. From the other reviews I have read about them it looks like I have many calls and many hours of trying to dispute my purchase and get a resolution. These rugs were wool and expensive. I definitely will not purchase anything from them again and will not stop trying to get these rugs returned.,1.0
"Jane of Lynnwood, WA","Original review: March 30, 2021","We bought the Harmony Sofa on 11/11/20 with a fabric that made the sofa made-to-order with an initial estimated delivery date for the end of January to the beginning of February (11-13 weeks from date of order). In mid-January, we noticed on our order details page that the estimated delivery date changed to the end of Feb. to the beginning of March. This has happened every month ever since; the estimated dates of delivery would change without notice, and we would not have known if we didn't check the order details page on our own. The date of delivery now is estimated to be May 23 - June 3, which is 28-30 weeks from our order date.",1.0
"Dwayne of New York, NY","Original review: March 29, 2021","Whatever you do, do NOT buy furniture at West Elm. We had a horrible experience. We purchased a large rug and Andes sectional sofa and the customer service in the store was reasonable. But the problems started when we tried to get the insurance certificate for our property management company. West Elm could not have been less helpful — after repeated calls leading right up to the morning it was delivered — one hour before! — we were able to secure the right paperwork. Then, the real fun began. After it was delivered we saw a dark strap mark on the sofa fabric, like it had been packaged with a large strap of some kind. We noted it with the delivery men and they said they would send an email to confirm. They left. And we never received anything, of course.",1.0
"William of Brooklyn, NY","Original review: March 29, 2021",I returned a couch on March 5. It is March 29th and I still have not been refunded the money. They have their couch and my money. Where is my refund? The couch they sent me was defective and immediately began to fall apart which prompted me to return the item and seek out a replacement. The replacement item was back ordered until August. A full 5 months away which is pretty ridiculous. I understand Covid has affected delivery. I understand some stuff is out of stock but expecting me to be without a couch for 5 months is just insanity.,1.0
"William of BROOKLYN, NY","Original review: March 29, 2021",,1.0
"Naydeen of Hawthorne, CA","Resolution response: May 4, 2021","After a bunch of back and forth, the West Elm customer service team stepped up their game, they took over the communication, and tracking of the order and was able to tell me concrete responses about when my order would arrive. My delivery was successful and I received everything, it all looks great! After the headache in the beginning, towards the end it was better, if you are OK with the waiting.",
"Mike of Gaithersburg, MD","Original review: March 28, 2021","I ordered a sofa from West Elm on November 12th, 2020 with an estimated delivery of January 25th, 2021. On January 19th the company charged my credit card and updated the delivery estimate to mid-February. After mid-February came and past without an update I called their customer service line and was told the sofa was lost and they would investigate and call me within 72 hours with an update. After not hearing from them for a couple of weeks, and several follow-up emails to customer service going ignored, I called them again and was told the sofa was likely on its way to my area of the country. I was instructed to follow-up directly with the local delivery company the next week. ",1.0
"Crystal of Jonesborough, TN","Original review: March 27, 2021","On 8/2/20, we paid $6,744 for this giant Harmony U-shaped sectional and 4 months later we had 3/5 of the sectional delivered. I understand delays due to Covid-19, but tell me how you lose nearly half of a custom sectional? The other 2/5 couldn't be located and had to be remade, finally getting an entire item on 3/22/21 (nearly 8 months later). I have literally spent hours speaking with various representatives, to sort this out. The item was purchased using 12 month-no interest financing, and was billed to my West Elm credit card in 11/20, inexplicably charging me for months for an item that I did not possess. ",1.0
"Melissa of Littleton, MA","Original review: March 27, 2021","I purchased very expensive outdoor tables from their Portside outdoor collection and I am extremely frustrated to see it chipping after just one full season with the tables. In fact, one of the two tables is covered and protected from the sun completely... gets little to no rain and still is chipped and old looking already! Again these were pricey tables and if known, I would have invested in Arhaus or Restoration Hardware furniture. You pay a little more but at least quality and customer service is guaranteed.",1.0
"Marci of Atlanta, GA","Original review: March 27, 2021","The chair showed up in a large, heavy box left on my doorstep. I was excited to unpack it, but once I did and unzipped the compartment at the bottom of the chair, I was disappointed to find that there were no legs included. After talking to a customer service rep who said that my legs would be shipped in 7-10 days, I wrote to them 11 days later. They then sent me a confirmation that I would receive the legs some time in August. After at least a dozen emails with customer service, it was determined that they would need to come and pick up the chair before they could issue a refund. While that seems fair, they did not make this right. I will never purchase another item from West Elm and am sure that people can do better just about anywhere.",1.0
"M of Minneapolis, MN","Original review: March 26, 2021","As a customer whose West Elm nightmare has just begun, I believe that the company is engaged in deceptive trade practices/false advertising, which is illegal. In order to retrieve our losses and spare future customers from falling into the same trap, we should all report West Elm to the relevant authorities: Federal Trade Commission, your state's Attorney General office, and your city's District Attorney's office (some of them have a consumer's affair division). Reporting them to the Better Business Bureau and leaving reviews are not enough. They haven't saved us. Go to the government. Google the ""truth in advertising"" website and find out what your state's laws say about companies that engage in deceptive trade practices/false advertising, and get your relevant documents together. If you are able, bring a lawsuit against them. We must do this for ourselves and as a public service.",1.0
"Voce of Glen Allen, VA","Resolution response: April 10, 2021","My issue was resolved with WE agreeing to a refund to my card (not store credit) that was about the same amount as shipping. Can't give 5 stars because I feel like I had to jump through hoops to get this, and it was nothing more than their own rep suggested I should get to begin with.",
"Eric of Washington, DC","Original review: March 22, 2021","Buyers beware. Never again will I waste my time dealing with this company. And had I done my research beforehand, I would have never bought from this company to begin with. As others have experienced, I've been waiting months for my order. Ordered three tables on Jan 8 2021. It's now March 22. Delivery has been pushed back 4 times with no definitive date in site, though the latest ""expected date"" is April 12. Clearly, the only thing I can expect on that date is that it will get pushed back YET AGAIN. That's more than three months for a coffee table, console table and end table. I could have made this furniture myself from scratch in this amount of time. West Elm: If you do not have merchandise stuff in stock, and/or cannot get it in reasonable timeframes, TAKE IT OFF YOUR WEBSITE! One more note, customer service is non-existent and phone connections keep getting mysteriously disconnected. Par for the course for this company.",1.0
"Dave of High Falls, NY","Original review: March 22, 2021","I ordered a number of pieces from the West Elm website on November 27, 2020. As I write this, 16 weeks later, most pieces have not been delivered and my delivery estimates have just been updated to June (7 months after the order). First off - DO NOT BELIEVE THE WEBSITE'S DELIVERY ESTIMATES. I ordered a sofa, and specifically chose the color / size combination that was listed as ""in stock and ready to ship"", as I was looking to take delivery in time for the holidays. Delivery was initially estimated Dec 14-28th.",1.0
"Sandra of New York, NY","Original review: March 22, 2021","I wish I had done some research before placing an order with them back in November for furniture I STiLL have yet to receive. I originally placed an order for a couch and chair. The chair was supposedly in the warehouse a month later (and I was charged for it) but they wouldn't ship until my complete order was ready. After two months of delivery delays on my couch they finally agreed to split the order and set a delivery date for the chair. Lo and behold, the delivery date arrived and I got a notice that the chair was backordered and no one could tell me where my chair went or if it ever even existed in the first place.",1.0
"Laura of Twin Falls, ID","Original review: March 20, 2021","Updated on 03/21/2021: Today another charge added to my credit card. Card was canceled yesterday and West Elm is hitting it every day. This is fraud. Savanah from West Elm that I talked to didn't help at all, but she wants me to review her. Ridiculous! Horrible experience.",1.0
"Kelly of Niceville, FL","Original review: March 20, 2021","I ordered a couch January 1. Was informed delivery would be by March 16. Called that week and the week prior to make sure on track and it was. Now they say it’s delayed until end of May and will not cancel my order! As a matter of fact no one will even let me talk to a supervisor. I tried calling corporate and ironically it’s closed because of covid because it’s California. Two people told me my order would be cancelled and I called to verify only to be told it could not be. Everyone you talk to tells you something else. I am a family with two small kids and don’t have a couch because we moved thinking we were getting one the following week, hence why I called! Horrible horrible company for expensive prices! Do not ever shop here!!!!",1.0
"Renato of Chicago, IL","Original review: March 19, 2021","On November 27th I made a purchase for several items at West Elm. They were back-ordered so I was already expecting to wait. My media console was scheduled to be delivered between Jan 3rd and Jan 17th, while my dining table was scheduled between Feb 23rd and March 9th. However, absolutely nothing went according to plan and the quality of customer support is appalling.",1.0
"zvia of Brooklyn, NY","Original review: March 19, 2021","On November 14, 2020, I placed an online order for several items. The last item left to be delivered in that order was scheduled to be delivered on March 16, 2021. I have encountered several problems with this order and received zero assistance or support from West Elm: 1. I ordered 4 chairs, and at no point was told that only 3 would be made and delivered; 2. I was called on the morning that my delivery was scheduled and told that only 2 chairs were available – the 3rd chair was lost somewhere and that fabric was discontinued so a 4th chair could never be made; 3. I was told that it would take 72 hours and someone would contact me and let me know if the 3rd chair was found; 4. 72 hours passed, no one called me back; 5. I called West Elm again and was told the 3rd chair was not found.",1.0
"Jenna of Los Angeles, CA","Original review: March 19, 2021","I ordered a couch Oct 31 with a 5-6 week lead time. When I hadn’t received it by December I began to ask for a refund. I fought tooth and nail and by January 13 the order was cancelled and I was refunded. On March 17 West Elm, without authorization, charged my account over $1300, the price of the couch.. The price I was reimbursed back in January. This is stealing in every sense of the word. DO NOT BUY FROM WEST ELM! Their customer service is AWFUL. I’ve left several voicemails on their “charge back department” and nobody has returned my call. This is theft and it is illegal.",1.0
"Autumn of Bloomfield Hills, MI","Original review: March 19, 2021",After purchasing my 1st home... I was excited to start fresh with a new bedroom and dining room set. Although I’d heard several reviews that West Elm's furniture was pretty poor quality... I’ve always been drawn to their style so I splurged for the new house. What a huge mistake to have chosen West Elm. I could write a novel about my experience but it seems that it’s in line with all of the other reviews I’m seeing here... so I’ll narrow it to cliff notes.,1.0
"Jacinda of Chino Hills, CA","Original review: March 18, 2021","My husband and I were gifted our bed frame and sectional by a generous family member off our wedding registry. The bed was in stock and ready to ship right away. I scheduled for the delivery of the bed frame and we received it late October. At that point, we were impressed with West Elm and the service we received with the delivery of the bed. The workers very skilled and quick as they assembled the bed together. However, we are still waiting on our sectional which was ordered on October 8, 2020. ",1.0
"Juliana of Brooklyn, NY","Original review: March 18, 2021","I assisted my daughter in the purchase of a sofa which was in stock and supposed to be delivered within 10 business days. With no notice, the order was changed and submitted to the factory to be built. The delivery date was pushed out two months and I only happen to notice because I pushed the update link. I complained and canceled the order. I was told it would not be a problem but they had to submit the ""request"" to the vendor. I responded that the arrangement between the vendor and West Elm should not be my problem since the sofa that was ordered was purchased from West Elm and was supposed to be in stock.",1.0
"Anna of Bentonville, AR","Original review: March 17, 2021","My boyfriend and I were gifted a couch for Christmas. It was ordered beginning of December with an estimated arrival time of mid-February. Pretty decently long wait time - but, ultimately sounded worth it. It is now mid-March and the estimated arrival date was just pushed back for the 5th time to mid-April. We have already sold our previous couch and have been without for a couple weeks now. (We sold it after the 3rd time of the dates getting pushed back because we thought surely this will be it.) The wait time on this has not only been long, but sporadically changing. First, mid-February then March. Then, late March. Then, early March. Now, as I stated mid to LATE April. This has been a frustrating process to say the least. I would have given this one star, but as I have yet to actually experience the product - I feel it is unfair for what hopefully is a great sectional...if it ever arrives.",2.0
"Tracy of Washington, DC","Original review: March 15, 2021","I ordered the outdoor Santa Fe Outdoor Sectional yesterday (Sunday 3/15/21). One piece is to arrive between 4/5-4/19 and the other piece 4/8-4/22. I always wondered why there are no reviews on West Elm's website (unlike Room & Board) but now I understand. To my horror I started googling last night and came across this Consumer Report website. I spent two hours reading horrible reviews about shipping delays, products being lost and unhelpful customer service. I couldn't believe it! This product was NOT backordered on the website when I purchased it yesterday around 6PM. First thing this morning when I checked my order, all of a sudden it shows in my tracking order that it is backordered. I've come to learn from the reviews that this is a classic West Elm Move. ",1.0
"Blake of Scottsdale, AZ","Original review: March 15, 2021","I will NEVER shop at West Elm again! I purchased the following outdoor furniture set on September 24th, 2020 using the West Elm website:",1.0
"Heather of Corte Madera, CA","Original review: March 14, 2021","I bought the Urban Sectional Jan 2020. I was in a pinch on time so went with what was in stock and could ship right away. I was able to get the couch delegated within a couple weeks which is great! My issue is after having the couch only 6 ish months the fabric started to pill & the cushions lose their shape. I get there is normal wear/tear of furniture, but after six months to a year to looks so bad. That seems off.",2.0
