Field1,Time,Content,Rating
"HRic of Falls Church, VA","Original review: Sept. 5, 2018","I purchased this product on 8/22/2018 and assembled it in the next two or three days, only to discover the right hand side of the smaller desk drawers was missing. I immediately called IKEA, probably on 8/25 or perhaps 8/26 and, after an interminable hour+ wait (how does IKEA stay in business?). I finally spoke to a Danielle who seemed to understand the problem and ordered me a replacement part Case IKEA case #**), saying it would be sent FedEx, as I recall. Today is 9/5/2018, but still no replacement part nor acknowledgment of previous inquiries and no shipment info. Is the part still being sent, perhaps from Sweden?? It is frustrating to have neither the missing part nor a report on expected delivery. It is doubly frustrating to be unable to reach IKEA by phone. (Today, ""Due to unexpectedly high call volume... we cannot take your call."" - totally unacceptable!) Please let me know ASAP the status of my missing part.",1.0
"Ronda of Verona, NJ","Original review: Sept. 5, 2018","Ordered online some pillow covers and inserts. One of the navy blue pillow covers had discoloration of red throughout the pillow. Cannot get in touch with customer service to see if they could send me a replacement because their phone system says they are experiencing high volume calls. Like the other reviewers that posted (which I did not read, my bad) I am having same issues. I really didn't think ordering pillow covers and inserts would be a problem, but I guess when things are inexpensive, you really do get what you pay for! Terrible customer service! Tried to email, but you have to be a rocket scientist to get that email through!",1.0
"Allie of New York, NY","Original review: Sept. 5, 2018","IKEA's phone hold times are often over an hour or they cannot even take your call. Each person I talk to tells me something different. They charged me for my items before I received them. I had to reschedule my delivery three times because they couldn't complete the delivery. Turns out they use a separate delivery company. I called the delivery company and they said my items had been lost and it would take at least 48 hours for them to search for them. This is absurd, ridiculous, and I feel as if I am living in the twilight zone. This is the largest purchasing hassle I have ever experienced. This is my first and last time dealing with IKEA. Absolutely unbelievable.",1.0
"K of North Wales, PA","Original review: Sept. 5, 2018","We ordered 6 furniture items and were told delivery was 8/23 between 9 and 9. We waited all day and at 4pm were told the driver could not be there and would have to reschedule for 5 days later! We had driven 5 hours to be there the night before, we had scheduled Ikea's assembly people to be there the day after. XPO blamed it in on the IKEA truck not getting there on time and gave I had gotten three emails giving me updates all day that the order was delivered to them and that it was on its way to us. XPO said the emails were automated. I explained then they need to change something. You can't have people there all day on a day THEY give us, and email that everything is on time then at the end of the day they say you need to do this again 5 FIVE days later! ",1.0
"Lynn of Mchenry, IL","Original review: Sept. 4, 2018","On July 23 I bought a bed, frame, desk and TV console at IKEA to be delivered to my son’s apartment on July 29 between 9 and 6, (date and time picked by IKEA and also circled in RED by store employee). Son was at apartment all day between 9 and 6 and no one came. We called IKEA who said to call XPO Logistics. We called XPO Logistics and the goods had NOT EVEN LEFT the IKEA store. XPO Logistics said that the earliest they could deliver was August 2nd but that I had to schedule it AGAIN. I was then transferred to Customer Service who said that the earliest was August 3rd but that she also needed two other possible dates? After this, I said that I needed to speak with a supervisor and was transferred over to a “Conflict Resolution” employee. We were on hold for over 1-1/2 hours. By this time I had decided that something was wrong and wanted to cancel the whole transaction. ",1.0
"Yin Yin of Sedona, AZ","Original review: Sept. 4, 2018","I ordered a shoe bench and the seat part of the bench is damaged. I called the customer service number to report this defect immediately since they advise to let them know of damage within 48 hours of delivery. Well, the customer service number is bogus. There is a recording saying ""due to higher than normal call volume, we cannot take your call. Please visit our website."" And then you are disconnected. I went to the website and sent an email regarding the damage. Ikea claims a response within 48-72 hours. Well, it has been 6 days and still no response. Furthermore, I attempted to submit a poor review of the product on their website and Ikea responded via email, telling me that my review cannot be posted because of their privacy rules and was against guidelines. So, buyer beware when you deal with Ikea.",1.0
"Snowie of South Orange, NJ","Original review: Sept. 3, 2018","If I could give ZERO stars I would. I was told that if I purchased an item that it would be delivered next day. Once purchased I was given a date 4 days later which I was not too upset about. What was very upsetting was that I was told that I would get my furniture delivered and assembled on Monday, September 3rd. I was given a window of 10am-2pm. At 1:02 pm I called and they contacted the driver which said he would be at my home by 2 pm. I called again at 3 pm only to be told that the items was sent back to the store due to “mechanical” issues at 1:09 pm. No call, text, email, smoke signal, NOTHING!!! I asked to speak to a Manager and of course no one was available. I was rescheduled for this coming Thursday at an unknown time. Thank you IKEA!!! We will be sleeping on the floor for 3 more days with hopes that the bedroom set will be delivered as promised.",1.0
"Laura of Burbank, IL","Original review: Sept. 3, 2018","I recently (8/12) ordered a lot of furniture from IKEA online, including glass Oxberg doors, sectional sofa, dressers, etc. It was a huge order. Actually, their website wasn’t working correctly, and I ended up having to make three separate orders (and pay 3 separate delivery charges), but I got everything ordered and chose September 2 as my delivery date since I was moving the day before. I got the emails saying thanks for my orders, and didn’t hear much after that, but then, I got an email on 8/30 saying my stuff had shipped to the trucking company. I thought, ""Okay, no way I’m going to get this in time."" So I looked online to read about IKEA's delivery service. ",5.0
"Megha of San Jose, CA","Original review: Sept. 2, 2018","Purchased on 8/3/18. We paid and delivered to home delivery station at Palo Alto, IKEA with delivery date set on 8/11/18. We got call a day before for delivery window 11 to 5 on Saturday 8/11/18. Nobody showed up till 5:30 pm so we called IKEA, they said call North American. We called North American so they said, ""When they went for pick up your items were not ready for pick up."" (We already had wasted total of 2 hrs by now on phone hold to even know what happened.) We called IKEA to know what happened to our pick up. No sorry or anything. They said, ""Oh maybe it wasn’t in stock!"" We let them know that we have picked it up (all 3 pieces) and delivered to home delivery station at Palo Alto.",1.0
"A of Ann Arbor, MI","Original review: Aug. 31, 2018","We ordered bedroom furniture on 7/14/2018, with delivery scheduled for 7/31. On that date, IKEA delivered 2 bed frames, 1 dresser, but NOT the 2 mattresses to go on the beds. Delivery company took note of this but said we had to contact IKEA ourselves about it. After 2-3 hours on hold, we reached customer service who said they call us next day to set up new delivery date. Heard nothing for days. Finally went online and found they’d scheduled delivery for August 14, I.e. 2 weeks later. Again, multiple attempts to reach customer service. Finally did, and decided to cancel order and buy mattresses elsewhere. We were told that they’d refund credit card within 7 days (ridiculous enough; credits should be processed within 1-2 days).",1.0
"Weston of Broomfield, CO","Original review: Aug. 31, 2018","We purchased around $9000 in furniture from Ikea for our office. Two of the items purchased were the Bekant sit/stand desks. After about 3 months of minimal usage, the up/down functioning started to stutter. Now, it is completely inoperable. I have attempted to reach customer service 9 times over 3 days. After entering the correct sequence of numerical choices to get to the right department I was greeted with ""we are experiencing higher than usual call volumes and cannot take your call"" after which they disconnect. Here's a question, HOW THE HECK DO YOU HAVE HIGH CALL VOLUMES WHEN NOBODY CAN EVEN SIT ON HOLD??? Similarly I have tried in vain to email customer service. Ikea SUCKS!!!",2.0
"Debby of Nixa, MO","Original review: Aug. 31, 2018","LILLYANA Sheer curtains, 2 pair @$14.99. White, flower, 57x98 "" / 145x250 cm. Article Number: 303.865.19. Total $29.98. Not for me - returned product, and they received 7/24, today is 8/31/18 NO refund and will not answer my emails and customer service cannot answer calls - you can't even leave a message.",1.0
"Stacey of Salem, OR","Original review: Aug. 31, 2018","I placed an online order for a corner shelving unit. The items were broken up into several deliveries, and after receiving the second I realized I did not yet have the corner pieces. This is the backbone of the order so I went online to try to find out if there was a delivery estimate. That's when I saw the email saying they had CANCELLED the rest of the order because that part was out of stock. Who does this!? A solid customer service program would contact the customer, update the delivery time... something other than delivering part of an order and cancelling the rest. ",1.0
"Bert of Hollywood, FL","Original review: Aug. 30, 2018","I purchased the STORJORM Mirror cabinet with 2 doors & light, white. I have no idea how to get the lights to work. I have also called customer service and get disconnected. I even tried leaving a bad review on the site and it tells me I have an error. It seems this company rigs their site for only good reviews.",1.0
"Erin of Windsor Mill, MD","Original review: Aug. 30, 2018","IKEA's customer service is like the sound of one hand clapping. No disrespect to the average Joe working on the phone, managers are the problem. They are in the middle of a huge shake up and instead of being truthful, they have decided to mislead and deceive everyone. It's total chaos. Bad decisions snowballing into an avalanche. As soon as this post hits the site the snakes will be slithering about trying to deny deny deny. 2 hour hold times? Really? Shameful.",1.0
Syed of India,"Original review: Aug. 30, 2018",Yesterday I purchased few home decor items at IKEA INDIA HYDERABAD. I requested for delivery service for which they referred their delivery partner. They charged 500 Rs delivery and cash was paid for the same. They denied accepting card payment and no receipt was given. They promised delivery yesterday itself but till today no calls or delivery from them. IKEA is not responding when contacted.,1.0
"Marion of West Hollywood, CA","Original review: Aug. 30, 2018","Ikea needs to be put out of business. I had a kitchen planner. He designed it all wrong not what I had requested. When the delivery occurred, lots of wrong stuff was sent, parts were missing, no customer service, phone wait 40-90 min. No answer to my 10 emails. Planner added stuff to my order that I did not requested. It is cluttering my apartment and a hazard to my child, the parts are very heavy and I cannot move them. This has been my worst nightmare, the same with their team and installation service, job is unfinished and they charged more than the contract I signed. I will file a formal complaint.",1.0
"Șean of New York, NY","Original review: Aug. 29, 2018","On June 22, 2018, I ordered a shelving unit online from Ikea. I was told that it would take approximately two weeks to arrive, which it did, on approximately July 4, 2018. Upon inspecting the product, we discovered that the unit was missing all of the nuts and bolts that were crucial to assembling the shelving unit. I attempted to call Ikea customer service several times. Most times I was unable to reach customer service, as the number was supposedly 'not working at this time.' Apparently the phone lines were so overloaded, that a live person was unreachable. Over the course of one week and after spending at least 45 minutes on hold per day, I finally reached a live customer service representative. ",1.0
"Kala of Englewood, CO","Original review: Aug. 29, 2018","IKEA Centennial, CO store is getting one star for their extremely rude checkout person ""Allen"" on express checkout line ""22"" on Aug 29, 2018, at 1.47 pm. I was not planning on writing a review as I like Ikea for its efficient designs, nice display, and meatballs. ;) So I called their customer service number and checked their website for submitting a feedback. Apparently, their customer service number 1 (888) 888-4532 is ""busy"" and ""request"" you to check their website (Both their customer service number and website are useless! Online there is no page to submit feedback. Ikea basically DOESN'T CARE about its CUSTOMERS!) My toddler and I was there to check out their new display for remodeling our new house. ",1.0
"K of Loveland, CO","Original review: Aug. 29, 2018","We ordered a full kitchen including appliances in July 2018. Everything was supposed to be delivered on August 15. Nothing was delivered and no one called or emailed to communicate that. After calling and being on hold for approximately 1 hour, I was told it would be August 22. Nothing was delivered again and no call or email. I called again and was given the runaround and the blame game started by them telling me it was someone else's fault. I was told it would be delivered on the 29th and today when I called to confirm, no one answers after an hour of hold time and the delivery company is showing delivery for September 5th!!! I will be cancelling the order if anyone would answer the phone! Never order anything to be delivered from this place! If you want it, go to the store and leave with it cause that's the only way you’re going to get it.",1.0
"Isaac of New Orleans, LA","Original review: Aug. 28, 2018","Delivery was weeks late. I ordered $1000's in furniture. Order arrived missing a box. They sent me half a $350 dining table. Absolutely impossible to speak to anybody with the company. Logistics company was located on the other side of the country and their ""customer service"" was a joke. Filed a claim with BBB, where Ikea responded they would send me a new table. I said it had been a month now, just refund me my money. They said ""We have no record of what you are stating reported as the table arrive short pieces."" Wow, just wow. A week later, I got a call saying I was getting a delivery from Ikea! What??? They realized they messed up and are trying to send me the last box to prevent a chargeback... What a shady, horrible, dishonest company. I will never order from them again.",1.0
"Matthew of Ridgewood, NJ","Original review: Aug. 28, 2018","I Was trying to return an assembled chair, the waiting line was 1 hr or more. The associate was very rude & unprofessional, he returned the item for $212, and the full amount was $384, and he started cursing me out with ** words cause I asked him to read the receipt well. He left and went on break leaving us hanging and waiting for the manager. The manager didn’t even apologize for his attitude, and said she has to check with him what happened??? IKEA Paramus and IKEA stores, cheap items comes with cheap customer service! WILL NEVER GO THERE AGAIN!",1.0
"Hayley of Tucson, AZ","Original review: Aug. 27, 2018","I originally ordered $800 worth of furniture online from IKEA and paid extra for it to be delivered directly to my apartment by T-force. I received my order on the promised delivery date BUT half of my bed frame was missing. Turns out the idiots delivered the other half of my bed frame to the WRONG address (whoever they delivered stuff to right before me, as I guess I was the last delivery of the day). I immediately called the T-force delivery company who were extremely rude and told me they could not get in contact with the driver since it was a Friday and I was the last delivery of the day... even though it was only 1 pm. Ridiculous! I then called IKEAs customer service hotline and was on hold for at least 2 and a half hours!!! ",1.0
"Christoph of Terre Haute, IN","Original review: Aug. 27, 2018","We ordered a Malm king size bed incl. mattress (and Skorva midbeam) online. The delivery date was changed twice (the last time, one day before the agreed delivery date). When we finally managed to be all at the same time at the same place, the mattress was defective and dirty and had to be returned and on top of that the Skorva midbeam was missing. ",1.0
"Nadin of San Diego, CA","Original review: Aug. 26, 2018","IKEA has the worst customer service ever, it takes 2 hours for them to answer a call, I cancelled an order and it has been over 3 weeks and they don't post the return. Its impossible to talk to someone. By far the worst experience I have had!!",1.0
"Aekata of Philadelphia, PA","Original review: Aug. 25, 2018","I ordered a couch at an IKEA story to be delivered to my home. The couch that was delivered was defective. In order to get an exchange, I had to wait two weeks after three phone calls that had wait times of 40 minutes to 2hrs and 10 minutes. I also filed a complaint and requested manager call back twice which never happened. I called to confirm the night before for new delivery and was on hold for 2 hours but was told it was confirmed. The following day I call to get a three-hour window and again wait on hold for 2hrs and 17minutes to be told the item is not on stock and delivery will have to be rescheduled for a later day. ",1.0
"Nic of Philadelphia, PA","Original review: Aug. 25, 2018",I ordered delivery (XPO Logistics Philadelphia) of a sofa and paid to get my old sofa taken away. I had to take a day off work only to receive a call the evening before scheduling the delivery for a different day. So I wait at home for a second day and the delivery men refused to take my sofa away saying that it wasn't on their order. Even after I showed them the paperwork they refused. They were unbelievably rude despite me trying to be as diplomatic as possible. So now I am stuck on hold for hours trying to get through to someone to sort the mess out. I ordered from IKEA more convenience and easy. It was a huge mistake. They need to suspend their delivery service until they sort the mess out or get a new delivery supplier.,1.0
"Jasmine of Ypsilanti, MI","Original review: Aug. 24, 2018","DO NOT USE IKEA'S DELIVERY SERVICE. IKEA and its courier service XPO Logistics will not deliver on time/if at all. They will give you the WORST customer service imaginable. They will keep transferring you to different people. Google XPO Logistics and IKEA; there are literally hundreds of reviews by people stating their packages being lost, being on hold for hours at a time for days to weeks. I have been rescheduled on twice and now they cannot locate my packages and are giving me the runaround.",1.0
"G. of State College, PA","Original review: Aug. 23, 2018","We bought 4 or 5 small items in the Pittsburgh store mid-July, and when we got the shower curtain home and opened it saw that it was just a sheet of plastic -- no holes or any way to attach it to the shower pole. Returned it (cost: $7.25) to the Pittsburgh store via USPS since we live 3 hours away and could not return it in person. I have not heard a word from them in almost a month -- no email about having received it or a credit on my VISA. I've tried, spending literally several hours, calling and emailing IKEA to no avail. The phones are never answered but the one time a got a real, live person she transferred me and I was on hold for SIXTY minutes after which I hung up (NO ONE ANSWERED). I am super, super disappointed with IKEA's complete lack of customer service and will never shop there again.",1.0
"Jean of Cape Coral, FL","Original review: Aug. 22, 2018","I ordered a sofa with chaise lounge attached and was told it would be delivered in 2 weeks. When the delivery by XPO was delivered to my house the sofa was missing from the order, I only received the chaise lounge. I was finally able to contact IKEA customer service after digging for a valid phone number, and spoke with someone named Amanda. Amanda had a very could-care-less attitude and told me she couldn't do anything extra to remedy IKEA's mistake and that it would take another two weeks to receive the rest of my order. This company's customer service department is a JOKE! Do yourself a favor, go to a furniture store. DON'T order from IKEA. Hopefully this nightmare will be over in 2 weeks. I will NEVER order from IKEA again!",1.0
Sara of US,"Original review: Aug. 21, 2018","I wish I would've read these reviews prior to placing my order for delivery of two chairs from Ikea. I am experiencing the same terrible service. My order was placed on July 19, with an expected delivery date of Aug. 9. The date was then pushed back to Aug. 17. Now more than a week later (Aug. 21), I still have no chairs, delivery cannot give me a new scheduled date, and I've spend more than 2 hours on hold with Ikea customer service trying to get through to them with a new delivery date. They need to suspend ALL delivery service until they can get their act together and provide the service they are advertising! I will never again order anything to be delivered from Ikea and most likely won't shop in their stores either because of their awful customer service.",1.0
"Brian of US, US","Original review: Aug. 20, 2018",I have ordered couple furniture and it has been delayed 5 TIMES!!! I spoke to the delivery company (T-Force Final Miles) that is going to make the delivery and they said it will take 5 days when I ordered the furnitures 2 weeks ago. I am mad because the delivery was not made during the promised time and constantly wasted time waiting for the order and talking to them over the phone. DO NOT EVER ORDER DELIVERY WITH IKEA! I would give 0 star if possible...,1.0
"Hanna of Sunnyvale, CA","Original review: Aug. 20, 2018","The website: everything but user-friendly, since you're able to report any issues regarding the web-shop, that's what I did via an email, but nobody answered back. I didn't even get a confirmation email. Why bother then? I used to really like IKEA's furniture and brand image, but this purchase showed me and my husband the opposite. After reading the reviews, I consider myself lucky for receiving all the items ordered, I was 100% sure I'll need to chase the ghost of IKEA customer service because of missing items or other issues. We got an automated call regarding the delivery date. The transportation company called my husband in time, fortunately, and delivered quickly the goods inside the apartment, on the 2nd floor. They were kind and friendly.",4.0
"Brandy of New Rochelle, NY","Original review: Aug. 20, 2018",See now that others have had similar experiences. OUTRAGEOUS customer service issues w IKEA. Ordered couch July 24 for delivery Aug 7. Never came. XPO Logistics originally claimed they didn't have all items to deliver; then say they have but I need to arrange new delivery date with IKEA. Then told by IKEA (when I am finally able to get through to a human by pressing “purchase product” option) that they are having issues with XPO and are unable to set a new delivery date. Could be 4 weeks or 8 weeks or longer. So I say - let’s cancel that order and I will buy new one to pick up.,1.0
"Joy of US, US","Original review: Aug. 20, 2018","On June 12th 2018 I cancelled my order that I ordered online. I wanted them to take my old range away. I read about it online, but they don't have that service available online. Only if you buy the items at the store. So their representative suggested I cancel the order and then go to the store so I could be able to have that service. She said she would process the refund and it would be 7 to 14 business days. A month came and gone. Still no refund. As anyone who's ever tried to call Ikea you either get all circuits busy or they will put you on hold for anywhere from 45 minutes to 3 hours. I ask again about my refund and they told me that whoever received my items did not check them in or check some box or something. Great. Can we now handle the refund... I also asked if we could speed it along since someone on their end made a mistake. ",1.0
"Kenny of Usa, USA","Original review: Aug. 20, 2018",T-force should be called t-flakes. They have scheduled and confirmed three deliveries and no show on every one. Every call to them was over an hour on hold. No call backs as promised. Confirmation calls are a robot. Our only option is to sit back and see if they will ever show up with our shipment.,1.0
"Jason of Usa, USA","Original review: Aug. 19, 2018","Ordered furniture on 8/1, and as of 8/18, still do not have the furniture. After multiple calls to Ikea and to XPO, the courier company, no resolution. XPO says they are pending the furniture from Ikea, despite XPO calling twice to schedule a delivery. Ikea can’t provide any timelines, nor will they let us just come pick up at the store. I’ve been told an online order is different than an in-store pick-up. And when I asked to simply cancel my online order, was placed on hold for 30 minutes and the call disconnected. This is unacceptable service and it’s very clearly I’m not alone.",1.0
"Jefferson of Brooklyn, NY","Original review: Aug. 19, 2018","Awful experience with IKEA delivery. Scheduled a delivery for Saturday, received an automated message on Friday saying it would be there from 11-3. So far so good. Nothing came in that window, nothing was delivered, no update email. Finally received a message that it only just arrived at the warehouse after I wasted a day sitting around the house waiting for it to arrive. Then XPO Logistics (IKEA delivery service) said that they had lost the package, and it would take 48-72 hours for them to even locate the package. I am now looking at the package being hopefully delivered on Tuesday at the earliest, when I scheduled it for Saturday because I have school starting on Tuesday. A four day delay with no explanation, impossible to reach customer service and no attempt at customer information at all. IKEA and XPO Logistics are terrible delivery services that are completely incapable of what they are supposed to do.",1.0
"terri of Usa, USA","Original review: Aug. 19, 2018","Don't believe what the website describes for their ""Click and Collect"" service. Here's what really happens...You DO click and of courses, pay. Then you set up a pickup time frame, such as ""pick up time between 1:30-5:00"". However, when you arrive at 1:30, thinking that your merchandise should be ready to ""collect,"" you will be told that it is NOT ready, and they have no idea when it will be ready. It could be a half an hour, 1 hour, 2 hours, 3 hours... They CANNOT tell you; you are just supposed to sit there and wait. You see, in the view of the Paramus store, they have until the END of your time frame to get your paid merchandise together. And by the way, if you at that point ask for a refund, you will be told that it takes 48 hours to get your money back. Unacceptable.",1.0
"Leyla of Usa, USA","Original review: Aug. 19, 2018","I ordered a table and 4 chairs online on 8/3/18 with an estimated delivery of 8/10/18. Received an automated call on 8/10/18 that items would be delivered between 1pm and 5 pm that day (good thing my husband works from home, because that's not much notice for someone to need to be at home in the middle of the day on a workday). ",1.0
"K. of Usa, USA","Original review: Aug. 18, 2018","I purchased 4 sets of IKEA STUVA from Stoughton MA store. As I was putting them together, 2 of the frames were missing a couple of hardware items. Because I live more than an hour away from Stoughton store, I cannot make another trip to the store before my project deadline and I am under a tight deadline to complete all 4 sets for a bedroom setup, I searched other hardware stores near me for the missing cam lock screws. Unfortunately, these are specialized IKEA versions not available elsewhere.",1.0
"Lynda of Miami Beach, FL","Original review: Aug. 18, 2018","Never have I experienced such incompetence from such a huge, trusted, popular company. I actually imagined everyone I was speaking with on the phone (after 45 minutes on hold) having their feet on the desk and chewing gum, no one doing their job. After ONE WEEK of calling my delivery issue still is not resolved. It's as if they are using sticky notes instead of a computer system to organize their deliveries, it's that bad. WAKE UP IKEA. (I will now book PerfectAssembly.com to go to Ikea, pick up my order and assemble it for me $$$)",1.0
"Jerome of Los Angeles, CA","Original review: Aug. 18, 2018","It's amazing how many people have the same experience but IKEA doesn't respond at all to improve. Never ever order for delivery - the people you call at the number they give you can't do anything but listen to you, the delivery companies are clueless and rude, the resolution department never picks up the phone. We've spent days and hours at a time on hold, we repeatedly are told we will receive calls but never do, and still, we have no idea when our delivery will arrive.",1.0
"Michael of East Brunswick, NJ","Original review: Aug. 15, 2018","IKEA kitchen delivery complaint. Nightmare of the century. In October 2017 I bought kitchen cabinets for almost $4,000. Unfortunately, I also bought Ikea’s delivery service. And did it without checking reviews first. Please do not repeat my mistake. Four (!) nondeliveries. 12 days after first promised date, after many phone calls, with waiting on hold for hours, kitchen cabinets were finally delivered. Here how it went. Short version.",1.0
"Susan of Los Angeles, CA","Original review: Aug. 14, 2018","I wish I had seen the reviews on this site before placing an online order with IKEA for a bathroom vanity. If I could give IKEA 0 stars for this review I would. I've had the worst customer service experience of my life! Working for the VA, I know a thing or two about customer service and call centers, so that's saying a lot. The sink we ordered arrived damaged. We have spent numerous hours over the past month trying to get a replacement. You absolutely cannot get through on the customer service line. Last week after spending nearly 3 hours on hold on their customer service line, they finally agreed to ship us a new sink. However, I received no confirmation email for the order, so I tried again to get through over the weekend and was not successful. Kept getting either a busy signal or the message that all lines were busy and call back Tuesday-Thursday. ",1.0
"Steve of Brooklyn, NY","Original review: Aug. 14, 2018","IKEA and XPO missed my first scheduled delivery date. XPO claims after IKEA shipped my kitchen cabinets and appliances they arrived at the distribution warehouse days after they should have. Once rescheduled, XPO again did not deliver the products I paid thousands of dollars for. They called me the day before to say that the truck would arrive between 1 and 5 PM the following day. I had my contractors waiting all day for a delivery that never arrived, nor did I get the promised call from XPO letting me know about the status of the delivery. When I finally spoke to an agent after waiting on hold for over an hour, they said the boxes were never loaded onto the truck in the morning because they lost three boxes. But they never called to tell me that the delivery wouldn't be coming. Now, they seem to have lost my order and are conducting a warehouse search that will last up to 72 hours! ",1.0
"Tania of Brooklyn, NY","Original review: Aug. 13, 2018","Purchased an outdoor umbrella in the Brooklyn, NY store on Saturday August 11th, 2018. Paid to have it delivered and paid extra for next day delivery. Delivery was estimated to be August 12th, 2018 between 1pm and 5pm. No delivery! I have called Customer Service to check on status of delivery only to be transferred to the depths of hell, their Order Resolution department. I have literally been on hold since Saturday. Still no resolution. Absolutely the worst Customer Service. Never again!",1.0
"Caroline of North Arlington, NJ","Original review: Aug. 12, 2018","I purchased furniture from IKEA on Friday, August 10th to have delivered and assembled to my apartment on Sunday, August 12th. They called 24 hours before to confirm a four-hour timeframe for delivery and then I received a call telling me they were 5-30 minutes away within that time frame. However, 3 hours went by and they never showed and then I received an email telling me that they missed me and that redelivery would be an additional charge. I was home the entire day waiting and there was no delivery ever attempted to be made! In fact, I had other things delivered that day and not one other person had a problem delivering. I emailed them and tried calling the number provided 162 times and it says all circuits are busy. I am disgusted with the blatant lie and the fact that I wasted a Sunday waiting.",1.0
"Bert of Sayre, PA","Original review: Aug. 11, 2018",We purchased bathroom items for our renovation requiring us to pick up. We checked in at 12:15 and it is now 2:33 and we still don’t have our merchandise. That is 2:15 minutes and still waiting. Why anyone would waste their time waiting while IKEA has no respect for your time. It's an awful customer experience. NEVER AGAIN.,1.0
"Lenir of New York, NY","Original review: Aug. 11, 2018","I placed an order for the wrong item and realized the mistake immediately. Tried to call IKEA and got the following message: ""Call volumes are very high. Please call back Tuesday through Thursday between 9 AM and 5 PM,"" -- how is this possible? The confirmation email came 5 hours later, therefore I didn't have an order number to write IKEA a note. Also when I sent IKEA a note, I got an automated reply saying that I had to call the Customer Service number. First and last time I buy anything from IKEA. The item was a sofa and it will have to be returned, what a waste!!!",1.0
"Carson of Panama City, FL","Original review: Aug. 10, 2018","TLDR: IKEA has awful shipping. IKEA has awful customer service. IKEA has the worst return policy I've ever experience. On July 3rd of 2018 we purchased the Bekant desk from Ikea's online store. We were asked to choose a preferred delivery date and we chose July 18th which I now know was completely useless as the date you choose will have no effect on when the item is delivered. When the requested delivery date came and passed with no phone call from the shipping company I got their contact info and called to find out an ETA on our desk only to find out that they had just received the order that day and that delivery would be in 2 to 4 weeks! Now I understand that with large shipments the day may not always be exact and that is perfectly fine, but a date 2 weeks to a month after is insane!",1.0
"Brooke of Ronkonkoma, NY","Original review: Aug. 10, 2018","Literally the worst customer service and company I have ever encountered. I will NEVER order from them again and highly suggest that everyone avoids this company. I placed an order on June 30 which was supposed to be delivered on July 12. I called every day during the week of July 12 to try to change the delivery date to the following week when I was off of work since they only give a large 4 hour delivery window. I was unable to get through to anyone all week due to call volume. Finally on July 10, after being on hold for 100 minutes, I reached a customer service representative who changed my delivery date to July 19 as per my request. Then, on July 11, I received an email saying that my order was delayed as the shipping company did not receive it. However I then received a call on July 18 giving me a delivery window for July 19. ",1.0
"Paw of Pooler, GA","Original review: Aug. 10, 2018","First of all IKEA, why do you charge delivery when you're making your customers do the leg work for you? YOU SHOULD BE PAYING ME! Do you know how many hours I put into TRYING to get your crap scheduled for delivery? I had to go through Ikea customer service and two different carriers who knew nothing about the whereabouts of my order. One promised to call to schedule for delivery and I NEVER heard anything from them. I received only two emails from Ikea to confirm purchase and receipt of purchase. Nothing else! No phone calls, no emails and no text even though they ""promised"" to call when there's an update. We are in the 21st century. ",1.0
"javiera of Brooklyn, NY","Original review: Aug. 10, 2018","I've been waiting for over 4 weeks for my IKEA purchased kitchen cabinets to be delivered, they call and state a time window yet they never come, as I find out each time the cabinets were never loaded and then they ask me for 3 business days to locate them, then I get a call stating the delivery window and the experience is repeated where no one arrives and cabinets were never loaded to truck. IKEA doesn't respond and says it's XPO's fault, and they have nothing to do, and XPO is just completely incompetent as a company and says false statements, like things are going to be delivered when they haven't even found the cabinets. This is costing me money to have my contractor's guys waiting for the cabinets and my renovation work is stalled because of this. I haven't been able to get back home without a functioning kitchen.",1.0
"David of Elmsford, NY","Original review: Aug. 9, 2018","I ordered a dresser from IKEA online. It has been now scheduled twice with delivery windows by XPO Logistics, their delivery service. Both times they never came and sent notes late at night stating they don't have the merchandise and they can't find the merchandise in their warehouse. I've wasted two days waiting for this delivery. I'm fed up with this and tried to contact IKEA customer service, but they don't even answer the phone or you are on hold then disconnected. This is the worst company I've ever experienced, period. ",1.0
"Larissa of Fruitland, ID","Original review: Aug. 9, 2018","My porcelain sink was in 13 pieces, I called customer service after not receiving a reply to my email yesterday. I attached photos and asked for a response right away as we are needing a replacement for the contractor. When calling customer service today the recording read that, ""Call volumes are very high please call back Tuesday through Thursday between 9 AM and 5 PM,"" which I did and it proceeded to hang up on me time after time. The porcelain sink didn’t have anything but cardboard surrounding it and was broken into pieces when we opened the package on the doorstep. Very disappointing!",1.0
"ANDREW of Seminole, FL","Original review: Aug. 9, 2018","Am a real customer with real order #**. Worst online shopping experience ever, My delivery was delivered missing 2 items. When I asked the driver said call IKEA, Guess what! No customer service to answer your call! Went to the store, Guess what! They said, ""We have nothing to do with your online order!"" I am super pissed! And won't spend another nickle at IKEA. Just called the bank to dispute the charge in order to get my money back for the items that wasn't delivered!",1.0
"Silvia of White Plains, NY","Original review: Aug. 8, 2018",I ordered two tables and chairs for my deck on July 23. The estimated delivery was 8/2/18. XPO called on 8/1 and left message of confirmation delivery and window time for Aug 2. I missed my work and waited all day on 8/2 but they did not delivered. So I called XPO and they said the items are not in their warehouse and the confirmation call was error. They don't know when the items will be available to deliver.,1.0
